what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1458461025059
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1458461025060
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1458461025061
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1458461025061
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1458461025062
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1458461025085
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1458461025086
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1458461025087
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1458461025087
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1458461025092
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1458461025093
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1458461025093
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1458461025094
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1458461025095
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1458461025096
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1458461025097
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1458461025097
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1458461025098
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1458461025099
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1458461025099
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1458461025100
started,bundle,org.eclipse.wb.discovery.core,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.core",1458461025100
started,bundle,org.eclipse.wb.discovery.ui,1.3.0.r37x201202052340,"org.eclipse.wb.discovery.ui",1458461025101
os,sysinfo,,,"win32",1458461025105
arch,sysinfo,,,"x86",1458461025105
ws,sysinfo,,,"win32",1458461025105
locale,sysinfo,,,"en_US",1458461025105
processors,sysinfo,,,"2",1458461025105
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1458461025105
java.runtime.version,sysinfo,,,"1.8.0_73-b02",1458461025105
java.specification.name,sysinfo,,,"Java Platform API Specification",1458461025105
java.specification.vendor,sysinfo,,,"Oracle Corporation",1458461025105
java.specification.version,sysinfo,,,"1.8",1458461025105
java.vendor,sysinfo,,,"Oracle Corporation",1458461025105
java.version,sysinfo,,,"1.8.0_73",1458461025105
java.vm.info,sysinfo,,,"mixed mode",1458461025105
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1458461025105
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458461025105
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1458461025105
java.vm.specification.version,sysinfo,,,"1.8",1458461025105
java.vm.vendor,sysinfo,,,"Oracle Corporation",1458461025105
java.vm.version,sysinfo,,,"25.73-b02",1458461025105
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1458461025119
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1458461026288
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1458461026290
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1458461028337
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458461029352
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461036606
started,bundle,org.eclipse.wb.core.lib,1.3.0.r37x201202052311,"org.eclipse.wb.core.lib",1458461057437
started,bundle,org.eclipse.wb.core,1.3.0.r37x201202052311,"org.eclipse.wb.core",1458461057439
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461057839
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461058254
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461058343
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1458461061787
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1458461076537
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1458461081370
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458461112014
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461112829
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461112914
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461127629
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458461133560
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461134094
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1458461134269
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461138116
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1458461153845
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1458461153879
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461166546
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461170314
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461179721
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461179901
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461180270
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461184373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461199270
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461204415
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461207136
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1458461214407
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461233469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461233601
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461233743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461237966
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461243327
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461243533
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461243861
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461249782
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461283743
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461283922
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1458461304842
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1458461362370
started,bundle,org.eclipse.jdt.debug,3.7.1.v20111006_r372,"org.eclipse.jdt.debug",1458461362546
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1458461362605
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1458461363056
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461413648
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461415130
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458461415325
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1458461415646
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1458461415649
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1458461415651
